101/DT_1B040B3 | 행정구역(시군구)별 주민등록세대수 | 인구 > 주민등록인구현황
637/DT_63701_B000017 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 경기도 > 경기도광주시기본통계 > 인구
641/DT_64101_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 경기도 > 경기도양평군기본통계 > 인구
651/DT_65101_B000016 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 춘천시기본통계 > 인구
652/DT_65201_B000041 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원특별자치도원주시기본통계 > 인구
653/DT_65301_B000040 | 읍면동별 세대 및 인구 | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강릉시기본통계 > 인구
654/DT_65401_B000040 | 동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 동해시기본통계 > 인구
655/DT_65503_B000017 | 동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원특별자치도태백시기본통계 > 인구
656/DT_65601_B000040 | 동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원도속초시기본통계 > 인구
657/DT_65701_B000017 | 읍면동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 삼척시기본통계 > 인구
659/DT_65901_B000088 | 읍·면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원도횡성군기본통계 > 인구
661/DT_66101_B000016 | 읍면동별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 평창군기본통계 > 인구
662/DT_66201_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 정선군기본통계 > 인구
664/DT_66401_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원특별자치도화천군기본통계 > 인구
665/DT_66501_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원특별자치도양구군기본통계 > 인구
666/DT_66601_B000016 | 읍면별 세대 및 인구(주민등록) | 지역통계 > 지자체 기본통계 > 강원특별자치도 > 강원특별자치도인제군기본통계 > 인구
